User ID,Age,Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Workout Intensity,Sleep Hours,Body Fat (%)
1,39,Cycling,79,384,112,High,8.2,28.5
2,36,Cardio,73,612,168,High,8.6,28.5
3,25,HIIT,27,540,133,High,9.8,28.5
4,56,Cycling,39,672,118,Medium,5.8,28.5
5,53,Strength,56,410,170,Medium,7.3,28.5
6,33,Yoga,11,301,142,Low,4.2,28.5
7,48,Strength,109,351,114,Low,4.3,28.5
8,59,Strength,83,518,159,Medium,8.8,28.5
9,37,Running,25,226,123,Low,4.1,28.5
10,45,Cycling,60,265,171,High,5.6,28.5
11,28,Yoga,31,292,147,Low,6.3,28.5
12,46,HIIT,111,761,85,Low,6.2,28.5
13,38,Running,83,664,98,High,8.5,28.5
14,18,Cardio,60,205,96,Low,7.1,28.5
15,38,Yoga,50,463,85,High,7.3,28.5
16,34,Cycling,18,191,87,Medium,9.3,28.5
17,26,HIIT,30,272,92,Low,8.2,28.5
18,19,HIIT,94,855,100,High,4.4,28.5
19,20,Strength,52,404,120,Medium,6.7,28.5
20,44,Strength,51,821,148,High,6.1,28.5
21,38,Cycling,19,695,91,High,7.5,28.5
22,24,HIIT,35,221,132,High,7.4,28.5
23,56,Yoga,60,772,174,Medium,9.8,28.5
24,58,Cycling,52,737,142,Medium,4.1,28.5
25,21,HIIT,14,861,175,Medium,5.6,28.5
26,43,Yoga,90,685,157,High,6.7,28.5
27,28,Strength,61,629,112,Low,4.3,28.5
28,54,Strength,76,344,108,Low,5.3,28.5
29,40,Cycling,87,850,169,Low,6.9,28.5
30,35,Cardio,101,638,106,Low,6,28.5
31,26,Strength,112,791,115,Low,6.1,28.5
32,19,Cardio,83,849,85,High,5,28.5
33,28,Yoga,31,482,92,Low,5.1,28.5
34,39,Cardio,37,486,127,Medium,9,28.5
35,24,Cardio,16,949,127,Medium,5.7,28.5
36,21,Cardio,27,689,173,Medium,5.1,28.5
37,55,Yoga,63,304,87,High,5.6,28.5
38,42,Strength,67,155,89,Medium,8.8,28.5
39,48,Strength,15,297,109,High,8.8,28.5
40,29,Running,43,161,88,Medium,8.9,28.5
41,54,Yoga,108,121,134,High,5,28.5
42,42,Yoga,101,927,128,High,5.6,28.5
43,41,HIIT,108,508,173,Low,6.2,28.5
44,20,HIIT,48,900,112,High,7.5,28.5
45,20,Cycling,86,697,155,Low,4.6,28.5
46,44,HIIT,118,799,131,Medium,7.3,28.5
47,56,HIIT,80,872,124,High,9.8,28.5
48,36,Yoga,77,506,144,Low,6.1,28.5
49,49,Running,103,767,144,Low,9.9,28.5
50,27,Running,115,976,108,High,9.4,28.5
51,22,Running,45,337,145,Medium,4.8,28.5
52,47,Running,95,765,157,Medium,7.8,28.5
53,52,Running,118,376,106,Medium,5.3,28.5
54,19,Running,77,983,91,Medium,6.2,28.5
55,48,HIIT,100,104,115,Medium,6.8,28.5
56,28,Cardio,79,920,97,High,5.5,28.5
57,32,Cardio,12,155,142,Low,7.9,28.5
58,39,Cycling,91,455,134,Medium,7.6,28.5
59,28,Cycling,38,388,132,Low,5.7,28.5
60,32,Cycling,10,264,136,Low,5.8,28.5
61,33,Running,27,639,152,Low,9,28.5
62,59,Running,104,896,160,Low,6.6,28.5
63,43,Running,50,891,138,Medium,4.1,28.5
64,57,Yoga,98,360,167,Medium,9.6,28.5
65,20,Cardio,45,247,121,Medium,9,28.5
66,47,Cycling,39,287,170,High,4.5,28.5
67,51,HIIT,39,255,111,High,4.3,28.5
68,23,Cardio,87,113,147,Medium,9,28.5
69,25,Running,24,546,165,Low,5.2,28.5
70,25,Strength,53,934,93,High,5.9,28.5
71,53,HIIT,28,321,115,Low,6.3,28.5
72,49,Cycling,114,693,178,Low,9.2,28.5
73,53,Yoga,36,739,128,Medium,6.1,28.5
74,21,Cycling,55,628,113,High,4.3,28.5
75,34,Cycling,32,244,109,Medium,6.1,28.5
76,31,Cardio,40,748,109,Low,9.7,28.5
77,20,Cycling,52,447,112,High,9.1,28.5
78,58,Cycling,95,707,179,Low,8,28.5
79,38,Yoga,91,445,119,Low,8.9,28.5
80,21,Yoga,54,849,131,High,4.6,28.5
81,56,HIIT,19,796,170,Low,4.5,28.5
82,36,Yoga,32,929,152,Medium,6.9,28.5
83,59,HIIT,22,472,150,High,9.6,28.5
84,29,Strength,105,846,172,Medium,5.4,28.5
85,34,Yoga,117,524,126,Medium,4.4,28.5
86,57,Cycling,25,541,103,Low,8.6,28.5
87,50,Yoga,51,125,96,High,4.5,28.5
88,56,Yoga,57,595,88,Medium,7.3,28.5
89,19,Running,29,927,99,Low,7.4,28.5
90,19,HIIT,80,756,90,Low,5.2,28.5
91,54,Cardio,12,677,87,Medium,8.1,28.5
92,36,Yoga,74,662,145,Medium,4.7,28.5
93,54,Yoga,115,323,163,Low,4.9,28.5
94,38,HIIT,116,631,95,Low,5.6,28.5
95,28,Cycling,70,931,116,High,9,28.5
96,47,Cycling,92,434,156,Medium,7.2,28.5
97,58,Cardio,101,890,97,Low,8.2,28.5
98,23,Yoga,100,116,168,High,4.7,28.5
99,59,Running,107,311,93,Medium,7.7,28.5
100,36,Running,73,999,104,High,6.3,28.5
101,37,Strength,60,494,107,High,7.6,28.5
102,40,Strength,35,601,136,Low,7.8,28.5
103,51,Cycling,82,953,106,Low,8.5,28.5
104,26,Strength,26,473,97,Low,4.4,28.5
105,56,HIIT,27,600,177,Low,6.9,28.5
106,54,Yoga,90,205,140,High,7.6,28.5
107,50,Cardio,93,948,177,Medium,5.3,28.5
108,47,Cycling,83,808,102,Low,9.7,28.5
109,34,Strength,13,210,127,Low,7.1,28.5
110,24,Yoga,44,388,128,Medium,7.9,28.5
111,58,Cardio,48,162,80,Low,6.6,28.5
112,22,Strength,62,167,90,Medium,5.5,28.5
113,52,Yoga,98,280,90,High,4.5,28.5
114,49,Cardio,74,980,124,Low,6.4,28.5
115,39,Strength,35,827,158,Medium,9.7,28.5
116,21,Cardio,82,118,81,Medium,4.5,28.5
