id,Gender,Age,City,Profession,CGPA,Sleep Duration,Dietary Habits,Degree,Work/Study Hours
2,Male,33,Visakhapatnam,Student,8.97,'5-6 hours',Healthy,B.Pharm,3
8,Female,24,Bangalore,Student,5.9,'5-6 hours',Moderate,BSc,3
26,Male,31,Srinagar,Student,7.03,'Less than 5 hours',Healthy,BA,9
30,Female,28,Varanasi,Student,5.59,'7-8 hours',Moderate,BCA,4
32,Female,25,Jaipur,Student,8.13,'5-6 hours',Moderate,M.Tech,1
33,Male,29,Pune,Student,5.7,'Less than 5 hours',Healthy,PhD,4
52,Male,30,Thane,Student,9.54,'7-8 hours',Healthy,BSc,1
56,Female,30,Chennai,Student,8.04,'Less than 5 hours',Unhealthy,'Class 12',0
59,Male,28,Nagpur,Student,9.79,'7-8 hours',Moderate,B.Ed,12
62,Male,31,Nashik,Student,8.38,'Less than 5 hours',Moderate,LLB,2
83,Male,24,Nagpur,Student,6.1,'5-6 hours',Moderate,'Class 12',11
91,Male,33,Vadodara,Student,7.03,'Less than 5 hours',Healthy,BE,10
94,Male,27,Kalyan,Student,7.04,'Less than 5 hours',Moderate,M.Tech,10
100,Female,19,Rajkot,Student,8.52,'Less than 5 hours',Unhealthy,'Class 12',6
103,Female,19,Kalyan,Student,5.64,'Less than 5 hours',Moderate,'Class 12',4
106,Male,29,Srinagar,Student,8.58,'More than 8 hours',Moderate,M.Tech,10
120,Male,25,Nashik,Student,6.51,'Less than 5 hours',Unhealthy,M.Ed,2
132,Female,20,Ahmedabad,Student,7.25,'5-6 hours',Healthy,'Class 12',10
139,Male,19,Chennai,Student,7.83,'7-8 hours',Unhealthy,'Class 12',6
145,Male,25,Kalyan,Student,9.93,'5-6 hours',Moderate,B.Ed,8
161,Male,29,Kolkata,Student,8.74,'5-6 hours',Moderate,B.Ed,1
162,Male,29,Kolkata,Student,6.73,'7-8 hours',Moderate,M.Tech,0
166,Female,25,Ahmedabad,Student,5.57,'More than 8 hours',Unhealthy,MSc,10
172,Male,23,Thane,Student,8.59,'7-8 hours',Healthy,BHM,11
173,Male,18,Bangalore,Student,7.1,'More than 8 hours',Unhealthy,'Class 12',11
176,Female,20,Mumbai,Student,8.58,'7-8 hours',Moderate,'Class 12',2
186,Male,31,Ahmedabad,Student,6.08,'7-8 hours',Moderate,LLB,3
193,Male,25,Lucknow,Student,7.25,'More than 8 hours',Unhealthy,M.Ed,10
208,Male,33,Indore,Student,5.74,'Less than 5 hours',Moderate,M.Pharm,8
214,Male,28,Kalyan,Student,9.86,'7-8 hours',Unhealthy,M.Pharm,11
222,Male,18,Surat,Student,6.7,'Less than 5 hours',Moderate,'Class 12',5
232,Male,18,Visakhapatnam,Student,6.21,'5-6 hours',Unhealthy,'Class 12',4
239,Male,21,Jaipur,Student,7.25,'Less than 5 hours',Healthy,MCA,7
240,Female,31,Kalyan,Student,5.87,'7-8 hours',Healthy,PhD,8
242,Male,21,Surat,Student,8.04,'More than 8 hours',Healthy,MA,0
253,Female,25,Ludhiana,Student,6.37,'7-8 hours',Moderate,B.Pharm,2
255,Female,21,Bhopal,Student,9.72,'5-6 hours',Moderate,B.Com,0
263,Male,28,Srinagar,Student,5.88,'7-8 hours',Unhealthy,BCA,9
270,Male,28,Thane,Student,9.56,'7-8 hours',Unhealthy,MD,6
273,Male,25,Meerut,Student,6.51,'7-8 hours',Unhealthy,B.Pharm,3
274,Female,20,Thane,Student,6.99,'7-8 hours',Moderate,'Class 12',11
277,Male,23,Agra,Student,6.1,'5-6 hours',Unhealthy,MSc,10
280,Male,19,Agra,Student,5.24,'5-6 hours',Healthy,'Class 12',2
285,Female,33,Ghaziabad,Student,9.21,'Less than 5 hours',Unhealthy,MBA,10
294,Female,23,Chennai,Student,7.85,'More than 8 hours',Unhealthy,BE,12
301,Male,22,Lucknow,Student,9.93,'7-8 hours',Unhealthy,B.Ed,10
303,Female,19,Meerut,Student,6.95,'Less than 5 hours',Healthy,'Class 12',2
305,Female,30,Hyderabad,Student,5.86,'Less than 5 hours',Healthy,BSc,1
310,Male,21,Kalyan,Student,7.04,'Less than 5 hours',Unhealthy,MSc,1
312,Female,19,Rajkot,Student,6.99,'More than 8 hours',Healthy,'Class 12',0
315,Male,23,Kalyan,Student,7.92,'Less than 5 hours',Moderate,B.Com,10
316,Female,23,Vasai-Virar,Student,9.66,'7-8 hours',Healthy,BHM,12
324,Female,18,Vadodara,Student,5.7,'5-6 hours',Unhealthy,'Class 12',11
328,Male,28,Srinagar,Student,8.94,'7-8 hours',Unhealthy,M.Pharm,12
335,Male,24,Hyderabad,Student,8.04,'5-6 hours',Unhealthy,M.Tech,8
336,Female,33,Srinagar,Student,9.71,'More than 8 hours',Healthy,B.Com,5
337,Female,20,Kalyan,Student,8.04,'5-6 hours',Moderate,'Class 12',7
340,Male,23,Kalyan,Student,7.87,'7-8 hours',Moderate,BSc,11
343,Male,23,Pune,Student,5.74,'5-6 hours',Healthy,BA,11
347,Female,24,Ludhiana,Student,5.6,'Less than 5 hours',Healthy,MBBS,9
348,Male,25,Jaipur,Student,9.21,'5-6 hours',Unhealthy,BSc,7
351,Female,24,Bhopal,Student,7.9,'5-6 hours',Moderate,MBBS,3
367,Female,24,Kolkata,Student,5.46,'7-8 hours',Moderate,BSc,10
